duration,protocol_type,service,flag,src_bytes,dst_bytes,count,serror_rate,rerror_rate,class
0,tcp,ftp_data,SF,491,0,2,0,0,normal
0,udp,other,SF,146,0,13,0,0,normal
0,tcp,private,S0,0,0,123,1,0,anomaly
0,tcp,http,SF,232,8153,5,0.2,0,normal
0,tcp,http,SF,199,420,30,0,0,normal
0,tcp,private,REJ,0,0,121,0,1,anomaly
0,tcp,private,S0,0,0,166,1,0,anomaly
0,tcp,private,S0,0,0,117,1,0,anomaly
0,tcp,remote_job,S0,0,0,270,1,0,anomaly
0,tcp,private,S0,0,0,133,1,0,anomaly
0,tcp,private,REJ,0,0,205,0,1,anomaly
0,tcp,private,S0,0,0,199,1,0,anomaly
0,tcp,http,SF,287,2251,3,0,0,normal
0,tcp,ftp_data,SF,334,0,2,0,0,anomaly
0,tcp,name,S0,0,0,233,1,0,anomaly
0,tcp,netbios_ns,S0,0,0,96,1,0,anomaly
0,tcp,http,SF,300,13788,8,0,0,normal
0,icmp,eco_i,SF,18,0,1,0,0,anomaly
0,tcp,http,SF,233,616,3,0,0,normal
0,tcp,http,SF,343,1178,9,0,0,normal
0,tcp,mtp,S0,0,0,223,1,0,anomaly
0,tcp,private,S0,0,0,280,1,0,anomaly
0,tcp,http,SF,253,11905,8,0,0,normal
5607,udp,other,SF,147,105,1,0,0,normal
0,tcp,mtp,S0,0,0,248,1,0,anomaly
507,tcp,telnet,SF,437,14421,1,0,0,normal
0,tcp,private,S0,0,0,279,1,0,anomaly
0,tcp,http,SF,227,6588,5,0,0,normal
0,tcp,http,SF,215,10499,14,0,0,normal
0,tcp,http,SF,241,1400,33,0,0.03,normal
0,icmp,eco_i,SF,8,0,1,0,0,anomaly
0,tcp,finger,S0,0,0,57,1,0,anomaly
0,tcp,http,SF,303,555,9,0,0,normal
0,tcp,private,REJ,0,0,2,0,1,anomaly
0,udp,domain_u,SF,45,45,181,0,0,normal
1,udp,private,SF,105,147,2,0,0,normal
0,udp,domain_u,SF,43,43,122,0,0,normal
0,tcp,supdup,S0,0,0,205,1,0,anomaly
0,tcp,http,SF,324,2302,22,0,0,normal
0,tcp,uucp_path,S0,0,0,228,1,0,anomaly
0,tcp,ftp_data,S0,0,0,50,1,0,anomaly
0,tcp,Z39_50,S0,0,0,262,1,0,anomaly
2,tcp,smtp,SF,1591,372,1,0,0,normal
9052,udp,other,SF,146,105,4,0,0,normal
0,tcp,http,SF,290,3006,11,0,0,normal
0,tcp,csnet_ns,S0,0,0,108,1,0,anomaly
0,udp,private,SF,28,0,80,0,0,anomaly
0,tcp,http,SF,255,861,44,0.02,0,normal
0,tcp,ftp_data,SF,334,0,2,0,0,anomaly
0,tcp,ftp_data,S0,0,0,258,1,0,anomaly
0,tcp,http,SF,302,498,10,0,0,normal
0,tcp,private,REJ,0,0,61,0,1,anomaly
0,udp,private,SF,28,0,2,0,0,anomaly
0,tcp,http,SF,220,1398,26,0,0,normal
0,udp,domain_u,SF,43,69,120,0,0,normal
0,udp,domain_u,SF,44,133,73,0,0,normal
0,icmp,eco_i,SF,8,0,1,0,0,anomaly
0,tcp,uucp,S0,0,0,135,1,0,anomaly
0,tcp,finger,S0,0,0,24,1,0,anomaly
0,udp,domain_u,SF,43,43,148,0,0,normal
0,tcp,ftp_data,SF,641,0,2,0,0,normal
0,tcp,private,REJ,0,0,206,0,1,anomaly
0,tcp,private,REJ,0,0,175,0.1,0.89,anomaly
0,tcp,http,SF,310,2794,4,0,0,normal
0,tcp,private,REJ,0,0,63,0,1,anomaly
0,tcp,smtp,SF,696,333,1,0,0,normal
0,tcp,netbios_dgm,RSTR,0,0,1,0,1,anomaly
0,tcp,http,S0,0,0,52,1,0,anomaly
0,tcp,netbios_dgm,REJ,0,0,125,0,1,anomaly
0,tcp,supdup,S0,0,0,168,1,0,anomaly
0,tcp,http,SF,221,2878,1,0,0,normal
0,tcp,private,S0,0,0,145,1,0,anomaly
0,icmp,urp_i,SF,181,0,3,0,0,normal
0,udp,domain_u,SF,42,42,9,0,0,normal
0,tcp,private,S0,0,0,138,1,0,anomaly
0,tcp,ftp_data,SF,12,0,1,0,0,normal
0,tcp,auth,S0,0,0,276,1,0,anomaly
0,tcp,http,SF,210,2790,10,0,0,normal
0,tcp,http,SF,321,5683,10,0,0,normal
0,tcp,private,REJ,0,0,248,0,1,anomaly
0,tcp,http,SF,329,3982,2,0,0,normal
0,tcp,uucp_path,REJ,0,0,135,0,1,anomaly
0,tcp,domain,S0,0,0,220,1,0,anomaly
0,icmp,eco_i,SF,8,0,1,0,0,anomaly
0,tcp,http,SF,320,379,9,0,0,normal
0,tcp,private,S0,0,0,212,1,0,anomaly
0,tcp,http,SF,225,3762,10,0,0,normal
0,tcp,ftp,S0,0,0,250,1,0,anomaly
0,tcp,private,REJ,0,0,132,0,1,anomaly
315,udp,other,SF,146,105,3,0,0,normal
0,tcp,http,SF,247,1416,11,0,0,normal
0,tcp,http,SF,353,1483,3,0,0,normal
0,udp,domain_u,SF,44,44,109,0,0,normal
0,tcp,private,REJ,0,0,146,0,1,anomaly
0,tcp,csnet_ns,S0,0,0,300,1,0,anomaly
2,tcp,smtp,SF,3065,331,1,0,0,normal
0,udp,other,SF,102,102,1,0,0,normal
0,tcp,http,SF,259,750,4,0,0,normal
1082,udp,other,SF,147,105,2,0,0,normal
0,tcp,private,S0,0,0,129,1,0,anomaly
0,tcp,http,SF,0,354,32,0.03,0,normal
0,tcp,http,SF,309,306,1,0,0,normal
0,tcp,http,REJ,0,0,1,0,1,normal
0,tcp,http,SF,278,7227,3,0,0,normal
0,udp,private,SF,28,0,82,0,0,anomaly
0,tcp,http,SF,313,761,1,0,0,normal
0,tcp,http,SF,219,1212,15,0,0,normal
0,tcp,http,SF,245,9165,2,0,0,normal
0,tcp,http,SF,328,2243,21,0,0,normal
0,tcp,http,REJ,0,0,1,0,1,normal
0,tcp,http,SF,251,301,3,0,0,normal
0,tcp,smtp,SF,2089,335,2,0,0,normal
0,tcp,http,REJ,0,0,1,0,1,normal
0,tcp,http,SF,237,511,1,0,0,normal
0,tcp,http,SF,324,431,4,0,0,normal
25950,tcp,private,RSTR,1,0,2,0,1,anomaly
0,tcp,Z39_50,REJ,0,0,110,0,1,anomaly
0,udp,private,SF,105,145,4,0,0,normal
0,tcp,http,SF,218,974,6,0,0,normal
0,tcp,http,SF,325,2649,7,0,0,normal
0,tcp,uucp_path,REJ,0,0,246,0,1,anomaly
